"basec_id","project_title","multi_or_monocentric","principal_investigator","investigational_sites","type","study_phase","study_category","lead_ec","local_ecs","final_decition_date"
2015-00155,"The effect of intracoronary re-infusion of bone marrow-derived mononuclear cells (BM-MNC) on all cause mortality in acute Myocardial Infarction","monocentric","Prof Dr Tiziano Moccetti
Cardiocentro Ticino, Lugano
Fondazione Cardiocentro Ticino, Lugano","clinical trial",,C,"Comitato etico cantonale Ticino",,24.02.2017
2015-00194,"A multicenter, open-label, follow-up study
to assess the long-term use of lacosamide
(flexible dose from 200 to 600mg/day)
used as monotherapy in subjects who
completed SP0994 and received
lacosamide monotherapy treatment",multicentric,Dr. Pamela Agazzi,"Ospedale Regionale die
Lugano – Civico e Italiano,
6903 Lugano
Neurologie Centre
hospitalier Bienne,
Unionsgasse 14, 2502
Bienne
Kantonsspital Aarau AG,
5001 Aarau",clinical trial,phase 3,B,"Comitato etico
cantonale Ticino","Ethikkommission
Nordwest- und
Zentralschweiz EKNZ
Kantonale
Ethikkommission Bern",18.05.2016
2015-00232,"Bioavailability and tolerability study of two
new DHEP medicated plasters in
comparison with the marketed DHEP
medicated plaster 1.3% (Flector®)",monocentric,"Milko Radicioni, MD,
Principal Investigator","CROSS Research S.A., Arzo",clinical trial,phase 1,C,"Comitato etico
cantonale Ticino",,08.02.2016
2016-00004,"A Phase 2 Study to Evaluate the Efficacy
and Tolerability of  Debio 1562 in
Combination with Rituximab in Patients
with Relapsed and/or Refractory
Diffuse Large B-Cell Lymphoma and Other
Forms of Non-Hodgkin's
Lymphoma",monocentric,Dr. Anastasios Sthatis,"Istituto  Oncologico  della
Svizzera  Italiana,
Ospedale Regionale
Bellinzona  e  Valli,
Bellinzona",clinical trial,phase 2,C,"Comitato etico
cantonale Ticino",,15.04.2016
2016-00015,"Tako-Tsubo Cardiomyopathy and Cardiac
Syndrome X: a study on the brain-heart
interactions in two orphan cardiac
diseases. (BRAINHEART study)",monocentric,Dr. med. Mattia Cattaneo,"Division of Cardiovascular
Research, Ospedale
Regionale di Bellinzona e
Valli - San Giovanni
Hospital, CH - 6500
Bellinzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,29.03.2016
2016-00017,"Extensibility of the hamstrings: comparison
of passive stretching and treatment with
Roller-Massager.",monocentric,Marco Barbero,"SUPSI, Manno",clinical trial,,A,"Comitato etico
cantonale Ticino",,11.02.2016
2016-00021,"Perinatal depression :chronobiology, sleep
related risk factor and light therapy",monocentric,Dr med. Mauro Manconi,"Ospedale Regionale di
Lugano, Lugano",clinical trial,,A,"Comitato etico
cantonale Ticino",,31.05.2016
2016-00038,"“Is PECS block equivalent to paravertebral
block in preventing postoperative pain
after breast surgery? A
randomized,controlled, double-blind trial”.",monocentric,Dr Andrea Saporito,"Ospedale San Giovanni,
Bellinzona",clinical trial,,A,"Comitato etico
cantonale Ticino",,11.01.2017
2016-00062,"L’arresto cardiaco (AC) come trauma per il
familiare: sintomatologia e possibili modelli
di indagine, intervento e prevenzione",monocentric,Prof. Claudio Benvenuti,"Fondazione Cuore Ticino,
Breganzona","non clinical, involving
persons",,A,"Comitato etico
cantonale Ticino",,21.07.2016
2016-00169,"Does the range of motion of the cervical
spine increase after mobilisation? A
comparison of two Cyriax mobilisation
techniques.",monocentric,Marco Barbero,"SUPSI, Manno",clinical trial,,A,"Comitato etico
cantonale Ticino",,17.01.2017
