"simple_name","group"
"Abbott","private"
"AbbVie","private"
"Ablynx","private"
"Actelion","private"
"Allergan","private"
"Amgen","private"
"Ardea Biosciences","private"
"Array BioPharma","private"
"Astellas","private"
"AstraZeneca","private"
"Bayer","private"
"Biogen","private"
"Biotronik","private"
"Bioverativ","private"
"Boehringer Ingelheim","private"
"Bristol-Myers Squibb","private"
"Celgene","private"
"CSL Behring","private"
"Cytos Biotechnology","private"
"Daiichi Sankyo","private"
"Dr. Falk Pharma","private"
"Geistlich Pharma","private"
"Genentech","private"
"Gilead Sciences","private"
"GlaxoSmithKline","private"
"Hoffmann-La Roche","private"
"IBSA","private"
"Incyte","private"
"Janssen","private"
"Johnson & Johnson","private"
"Lilly","private"
"Medtronic","private"
"Merck","private"
"Nestlé","private"
"Novartis","private"
"Novo Nordisk","private"
"Pfizer","private"
"PIQUR Therapeutics","private"
"Sanofi","private"
"Servier","private"
"Shire","private"
"Sonova","private"
"Spirig Pharma","private"
"Takeda","private"
"UCB Pharma","private"
"Vertex Pharmaceuticals","private"
"ViiV Healthcare","private"
"Paraplegikerzentrum Nottwil","private"
"Schulthess Klinik","private"
"St.Claraspital","private"
"Hirslanden","private"
"Unispital Zürich","public"
"Unispital Basel","public"
"Unispital Genf","public"
"Unispital Lausanne","public"
"Inselspital Bern","public"
"Unispital Balgrist","public"
"Universität Zürich","public"
"Universität Genf","public"
"Universität Bern","public"
"Universität Basel","public"
"Universität Lausanne","public"
"Universität St.Gallen","public"
"ETH Zürich","public"
"EPF Lausanne","public"
"ZHAW","public"
"FHS St.Gallen","public"
"BFH Bern","public"
"HEVS Hochschule Wallis","public"
"Fachhochschule Westschweiz","public"
"Kantonsspital Frauenfeld","public"
"Kantonsspital St.Gallen","public"
"Kantonsspital Luzern","public"
"Kantonsspital Aarau","public"
"Kantonsspital Baselland","public"
"Kantonsspital Winterthur","public"
"Kantonsspital Baden","public"
"Kantonsspital Graubünden","public"
"Kantonsspital Bellinzona","public"
"Regionalspital Locarno","public"
"Triemli Spital","public"
"Schweizerischer Nationalfonds","public"
"SAKK","public"
"Children's Oncology Group","consortium"
"EORTC","consortium"
"LYSA","consortium"
"IELSG","consortium"
