unique_id,primary,size,study_type,status,primary_sponsor,leading_institution,registration_date,start_date,end_date,results_submitted,publication_found,source,has_g_scholar_results,primary_sponsor_simple,leading_institution_simple
6732ae9f,NCT00002529,452,interventional,Completed,International Breast Cancer Study Group,Spedali Civili di Brescia,2004-07-28,1993-05-01,2010-08-01,FALSE,FALSE,NCT,FALSE,NA,NA
5f6641e3,NCT00002756,221,interventional,Completed,Children's Oncology Group,Texas Children's Cancer Center,2003-01-26,1996-06-01,2007-09-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
fe77b8a3,NCT00002784,344,interventional,Completed,International Breast Cancer Study Group,Melbourne Health,2004-07-28,1996-06-01,2011-08-01,FALSE,TRUE,NCT,TRUE,NA,NA
a52d8333,NCT00002899,340,interventional,Terminated,European Organisation for Research and Treatment of Cancer - EORTC,Medizinische Universitaetsklinik I at the University of Cologne,2003-01-26,1996-11-01,2007-11-01,TRUE,TRUE,NCT,TRUE,EORTC,NA
7fe44f49,NCT00003573,53,interventional,Completed,Children's Oncology Group,Hopital Sainte Justine,2004-02-19,1998-11-01,2007-10-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
c62f9e58,NCT00003593,254,interventional,Completed,Children's Oncology Group,Children's Mercy Hospital Kansas City,2003-01-26,1999-06-01,2007-03-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
e1ced9b4,NCT00003941,222,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,"Rigshospitalet, Denmark",2003-01-26,1999-04-01,2007-06-01,FALSE,TRUE,NCT,TRUE,EORTC,NA
dc721f6a,NCT00004205,8028,interventional,Completed,International Breast Cancer Study Group,Cantonal Hospital of St. Gallen,2003-01-26,1998-03-01,2008-12-01,FALSE,TRUE,NCT,TRUE,NA,Kantonsspital St.Gallen
b845ac90,NCT00004228,393,interventional,Unknown,Children's Oncology Group,"Children's Hospital Medical Center, Cincinnati",2003-01-26,2000-06-01,2008-08-01,TRUE,TRUE,NCT,TRUE,Children's Oncology Group,NA
ede83038,NCT00004935,175,interventional,Ongoing,Swiss Group for Clinical Cancer Research,Istituto Oncologico della Svizzera Italiana IOSI,2003-01-26,1999-08-30,2014-11-06,FALSE,FALSE,NCT,TRUE,SAKK,NA
923e0264,NCT00004978,4150,interventional,Completed,National Institute of Allergy and Infectious Diseases (NIAID),"University of California, San Francisco",2001-08-30,2000-03-01,2008-11-01,TRUE,TRUE,NCT,TRUE,NA,NA
820bd4f7,NCT00005585,838,interventional,Completed,Children's Oncology Group,Duke Cancer Institute,2003-01-26,2000-04-01,2007-07-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
4101f526,NCT00005945,3054,interventional,Completed,Children's Oncology Group,"University of Wisconsin, Madison",2003-01-26,2000-06-01,2007-11-01,FALSE,TRUE,NCT,TRUE,Children's Oncology Group,NA
42c41ede,NCT00014612,4813,interventional,Completed,European Organisation for Research and Treatment of Cancer - EORTC,The Netherlands Cancer Institute,2003-01-26,2001-02-01,2010-11-01,FALSE,TRUE,NCT,TRUE,EORTC,ETH Zürich
528b0948,NCT00018967,10,interventional,Completed,National Cancer Institute (NCI),National Cancer Institute (NCI),2003-01-26,1993-11-01,2007-04-01,FALSE,TRUE,NCT,TRUE,NA,NA
